prid,proceedingid,title,subtitle,proc_desc,con_city,con_state,con_country,con_start_date,con_end_date,publication_date,puid
8994,308386,Principles of database systems,,Proceedings of the seventh ACM SIGACT-SIGMOD-SIGART symposium,Austin,Texas,USA,,,1988-03-01,1545
11014,2616606, Test in Europe,,Proceedings of the conference,Dresden,,Germany,2014-03-24,2014-03-28,2014-03-24,11015
11060,2465106,Programming languages and analysis for security,,Proceedings of the Eighth ACM SIGPLAN workshop,Seattle,Washington,USA,2013-06-20,2013-06-20,2013-06-20,1545
11121,1244408,Adversarial information retrieval on the web,,Proceedings of the 3rd international workshop,Banff,Alberta,Canada,2007-05-08,2007-05-08,2007-05-08,1545
11210,29903,Measurement and modeling of computer systems,,Proceedings of the 1987 ACM SIGMETRICS conference,"Banff, Alberta",,Canada,1987-05-11,1987-05-14,1987-08-01,1545
11294,800221,Principles of distributed computing,,Proceedings of the second annual ACM symposium,Montreal,Quebec,Canada,1983-08-17,1983-08-19,1983-08-17,1545
11366,1375634,Memory management,,Proceedings of the 7th international symposium,Tucson,AZ,USA,2008-06-07,2008-06-08,2008-06-07,1545
11413,1564595,Software Engineering Challenges of Cloud Computing,,Proceedings of the 2009 ICSE Workshop,,,,2009-05-23,2009-05-23,2009-05-23,3039
11513,274497,Assistive technologies,,Proceedings of the third international ACM conference,Marina del Rey,California,USA,1998-04-15,1998-04-17,1998-01-01,1545
12105,2342896,,,ACM SIGGRAPH 2012 Posters,Los Angeles,California,,2012-08-05,2012-08-09,2012-08-05,1545
12150,1376789,Programming languages and operating systems,,Proceedings of the 4th workshop,Stevenson,Washington,,2007-10-18,2007-10-18,2007-10-18,1545
12219,2666581,Innovative Software Development Methodologies and Practices,,Proceedings of the International Workshop,Hong Kong,,China,2014-11-16,2014-11-16,2014-11-16,1545
12285,1735688,General-Purpose Computation on Graphics Processing Units,,Proceedings of the 3rd Workshop,Pittsburgh,Pennsylvania,USA,2010-03-14,2010-03-14,2010-03-14,1545
12362,1016850,Functional programming,,Proceedings of the ninth ACM SIGPLAN international conference,Snow Bird,UT,USA,2004-09-19,2004-09-21,2004-09-19,1545
12505,279179,Computer personnel research,,Proceedings of the 1998 ACM SIGCPR conference,Boston,Massachusetts,USA,1998-03-26,1998-03-28,1998-06-01,1545
12635,958220,Document engineering,,Proceedings of the 2003 ACM symposium,Grenoble,,France,2003-11-20,2003-11-22,2003-11-20,1545
12663,1514402,Interactive Entertainment,,Proceedings of the 5th Australasian Conference,Brisbane,Queensland,Australia,2008-12-03,2008-12-05,2008-12-03,1545
12723,1058129,Graphics hardware,,Proceedings of the ACM SIGGRAPH/EUROGRAPHICS conference,Grenoble,,France,2004-08-29,2004-08-30,2004-08-29,1545
